title,tags,lat,lon,url,date_taken
BARCELONA,barcelona,41.387538,2.168783,https://live.staticflickr.com/4430/36749058976_6e819bf449_m.jpg,2010-02-06 17:53:32
Barcelona,luminarneo barcelona,41.387811,2.169661,https://live.staticflickr.com/65535/53007884573_753fb32201_m.jpg,2014-03-04 20:13:29
Barcelona,barcelona,41.395326,2.161839,https://live.staticflickr.com/4430/36638616110_9fca505e97_m.jpg,2017-08-20 16:43:01
Barcelona,barcelona,41.390502,2.172634,https://live.staticflickr.com/7808/46340146414_cbb2d165b9_m.jpg,2019-01-31 18:14:00
barcelona,barcelona,41.372686,2.175292,https://live.staticflickr.com/7333/13964003600_9c803af66c_m.jpg,2013-12-04 01:30:47
Barcelona,barcelona,41.375288,2.168411,https://live.staticflickr.com/4652/40252168321_6c1ffe856e_m.jpg,2018-01-29 20:01:05
Barcelona,barcelona,41.399169,2.153970,https://live.staticflickr.com/8524/8648643152_e2ca7de459_m.jpg,2013-04-14 14:03:26
Barcelona,barcelona,41.391608,2.164810,https://live.staticflickr.com/4340/36952486710_4abce1522e_m.jpg,2017-08-19 17:03:49
barcelona,barcelona,41.388658,2.168426,https://live.staticflickr.com/3905/15170800337_32aae390a5_m.jpg,2013-12-02 00:26:19
barcelona,barcelona,41.362380,2.138214,https://live.staticflickr.com/5518/11641736625_1c158df33f_m.jpg,2013-12-01 16:31:44
Barcelona,barcelona,41.391608,2.164810,https://live.staticflickr.com/4487/36660386093_e42bdf166b_m.jpg,2017-08-19 15:08:50
barcelona,barcelona,41.385719,2.170049,https://live.staticflickr.com/3887/14755247329_346570219c_m.jpg,2013-12-01 20:40:07
barcelona,barcelona,41.404388,2.172047,https://live.staticflickr.com/7310/12093379376_bdd28c93e8_m.jpg,2012-11-02 22:15:42
barcelona,barcelona,41.385051,2.170486,https://live.staticflickr.com/2872/11431265225_c5950278b0_m.jpg,2013-12-02 00:48:01
Barcelona,barcelona,41.385672,2.158430,https://live.staticflickr.com/65535/54289455167_dd5f4b5c1a_m.jpg,2025-01-26 22:04:52
Barcelona,barcelona,41.375261,2.168163,https://live.staticflickr.com/65535/48865963038_330bf0f4fc_m.jpg,2018-01-29 16:48:54
Barcelona,barcelona,41.374747,2.153320,https://live.staticflickr.com/2944/15151756410_c209fc252a_m.jpg,2013-12-01 19:59:10
barcelona,barcelona,41.380930,2.156066,https://live.staticflickr.com/3856/15335480781_e094dc2e54_m.jpg,2013-12-01 20:34:12
Barcelona,barcelona,41.387262,2.168512,https://live.staticflickr.com/2433/3756863860_4974e07952_m.jpg,2009-07-11 19:04:46
Barcelona,barcelona catalunya 西班牙,41.384302,2.175950,https://live.staticflickr.com/7289/16526194661_d2e5af86a3_m.jpg,2015-01-30 16:33:38
Barcelona,barcelona,41.381026,2.180421,https://live.staticflickr.com/65535/49363198227_10b43fafbc_m.jpg,2019-01-15 16:07:26
Barcelona,barcelona,41.385719,2.170049,https://live.staticflickr.com/5085/5370487549_51dd8c4f90_m.jpg,2011-01-05 07:54:24
Barcelona,barcelona,41.385808,2.158425,https://live.staticflickr.com/65535/54290580948_64b3aabe1f_m.jpg,2025-01-26 21:13:10
Barcelona,barcelona,41.403917,2.174777,https://live.staticflickr.com/3420/12996855984_9abbc2c695_m.jpg,2011-07-20 16:38:06
Barcelona,barcelona gaudi,41.395097,2.205505,https://live.staticflickr.com/7084/7330576442_af51ab95ab_m.jpg,2012-05-30 10:56:09
Barcelona,barcelona,41.401786,2.187022,https://live.staticflickr.com/65535/48395318837_0a9e75cd1b_m.jpg,2019-06-01 13:57:31
Barcelona,barcelona portvell,41.375697,2.177803,https://live.staticflickr.com/7265/7776367900_32e1124384_m.jpg,2012-06-29 15:11:42
Barcelona,spain barcelona,41.379698,2.182180,https://live.staticflickr.com/341/32025241022_0b3ec68f95_m.jpg,2016-12-24 16:24:45
barcelona,barcelona,41.377839,2.164306,https://live.staticflickr.com/3700/11616528683_85d0814b28_m.jpg,2013-02-13 06:05:10
Barcelona,barcelona catalunya 西班牙,41.381633,2.173333,https://live.staticflickr.com/7427/16501941186_dde9f83c1a_m.jpg,2015-01-30 11:22:14
barcelona,barcelona,41.372944,2.175292,https://live.staticflickr.com/3697/11640817583_2f319c99b8_m.jpg,2013-11-30 23:55:16
Barcelona,barcelona spain,41.377323,2.129631,https://live.staticflickr.com/1797/42298862684_8974320249_m.jpg,2017-04-08 09:38:28
Barcelona,barcelona,41.380413,2.174888,https://live.staticflickr.com/65535/51950772908_ee3f3e385d_m.jpg,2022-02-18 11:56:48
Barcelona,barcelona,41.378167,2.176494,https://live.staticflickr.com/5605/15490745599_0930274b62_m.jpg,2014-10-26 13:32:04
barcelona,barcelona,41.385719,2.170049,https://live.staticflickr.com/7394/11270582113_b0994f91f9_m.jpg,2013-12-08 22:37:08
Barcelona,barcelona,41.385440,2.195386,https://live.staticflickr.com/321/19541438344_704bb15161_m.jpg,2015-07-27 19:07:12
Barcelona,barcelona spain,41.377323,2.129631,https://live.staticflickr.com/1767/42115894605_fa84547265_m.jpg,2017-04-08 09:32:00
Barcelona,barcelona catalunya nikon street,41.387104,2.169842,https://live.staticflickr.com/65535/51831012815_b617cb34d6_m.jpg,2019-12-14 16:54:12
barcelona,barcelona,41.383886,2.167654,https://live.staticflickr.com/3368/3495295352_2bcc60da71_m.jpg,2009-05-03 00:17:56
Barcelona,barcelona city architecture spain sea,41.371849,2.169370,https://live.staticflickr.com/4229/35297132532_d9e7c8f893_m.jpg,2017-03-29 14:23:22
Barcelona,barcelona,41.370432,2.169027,https://live.staticflickr.com/3955/15513732910_7a37cb48da_m.jpg,2014-11-02 19:20:57
Barcelona,barcelona sunset clouds spain,41.409212,2.142698,https://live.staticflickr.com/5575/14723050592_f0e7c56d06_m.jpg,2014-07-23 09:08:10
Barcelona,barcelona submarine,41.414178,2.131669,https://live.staticflickr.com/65535/48851840342_5ddeb39560_m.jpg,2019-06-21 12:23:36
Barcelona,barcelona moody cinematic streetphotography,41.384367,2.179219,https://live.staticflickr.com/65535/51068079548_93fdac8ee2_m.jpg,2013-04-27 17:44:35
Barcelona,barcelona gaudi select,41.387370,2.184219,https://live.staticflickr.com/5547/9418698084_59a1b37428_m.jpg,2013-07-25 13:58:20
Barcelona,barcelona catalunya nikon chimenea viñeteado,41.374578,2.172235,https://live.staticflickr.com/65535/52988535745_8be6742fda_m.jpg,2011-12-04 12:39:27
barcelona,barcelona,41.375649,2.154779,https://live.staticflickr.com/38/92338434_5aac72d453_m.jpg,2004-09-28 22:00:16
Barcelona,barcelona,41.401793,2.169113,https://live.staticflickr.com/55/161598905_824623448d_m.jpg,2006-05-30 17:57:03
Barcelona,barcelona barcelone,41.370110,2.171859,https://live.staticflickr.com/7010/6620939891_0324779f64_m.jpg,2012-01-01 14:35:25
BARCELONA,2018 barcelona catalunya,41.367483,2.169777,https://live.staticflickr.com/4788/27009836218_fe029d2001_m.jpg,2018-03-18 11:50:21
Barcelona,barcelona spain españa,41.414643,2.151732,https://live.staticflickr.com/8043/8403401869_bf8d8cbbde_m.jpg,2013-01-06 15:12:54
